Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
Cx_RoG_Dorsal_division_MFC,oligodendrocyte,275,0.21778221,0.27772227
Cx_RoG_Dorsal_division_MFC,oligodendrocyte precursor cell,524,0.4845155,0.45154846
Cx_RoG_Dorsal_division_MFC,pericyte,4,0.038961038,0.11188811
Cx_RoG_Dorsal_division_MFC,vascular associated smooth muscle cell,2,0.12887113,NA
Cx_SMG_A40,astrocyte,966,0.23276724,0.8961039
Cx_SMG_A40,central nervous system macrophage,275,0.24175824,0.56143856
Cx_SMG_A40,endothelial cell,6,0.2957043,0.2967033
Cx_SMG_A40,fibroblast,20,0.4055944,0.42857143
Cx_SMG_A40,leukocyte,10,0.002997003,0.45654345
Cx_SMG_A40,neuron,35993,0.5104895,0.9100899
Cx_SMG_A40,oligodendrocyte,1312,0.27772227,0.57542455
Cx_SMG_A40,oligodendrocyte precursor cell,459,0.4985015,0.96303695
Cx_SMG_A40,pericyte,10,0.4765235,0.28771228
Cx_SMG_A40,vascular associated smooth muscle cell,2,0.44055945,0.000999001
Cx_SOG,astrocyte,819,0.20779221,0.25374624
Cx_SOG,central nervous system macrophage,256,0.21378621,0.8131868
Cx_SOG,endothelial cell,5,0.000999001,0.33166832
Cx_SOG,fibroblast,12,0.14885116,0.07992008
Cx_SOG,leukocyte,13,0.001998002,0.45554444
Cx_SOG,neuron,26775,0.43456542,0.76423573
Cx_SOG,oligodendrocyte,1440,0.23276724,0.03196803
Cx_SOG,oligodendrocyte precursor cell,340,0.5444555,0.2977023
Cx_SOG,pericyte,10,0.22277722,0.8031968
Cx_SOG,vascular associated smooth muscle cell,4,0.017982017,0.22077923
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,astrocyte,667,0.14785215,0.2837163
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,central nervous system macrophage,261,0.20479521,0.55344653
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,choroid plexus epithelial cell,1,0.93206793,NA
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,endothelial cell,11,0.08191808,0.21678321
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,fibroblast,5,0.13186814,0.43656343
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,leukocyte,5,0.000999001,0.6413586
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,neuron,32527,0.62437564,0.7042957
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,oligodendrocyte,1530,0.24575424,0.6293706
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,oligodendrocyte precursor cell,276,0.62237763,0.45954046
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,pericyte,6,0.48951048,0.43956044
Cx_SPL_Posterosuperior_dorsal_parietal_cortex,vascular associated smooth muscle cell,1,0.7052947,NA
Cx_STG,astrocyte,2648,0.121878125,0.18481518
Cx_STG,central nervous system macrophage,1085,0.112887114,0.013986014
Cx_STG,choroid plexus epithelial cell,1,0.17882118,NA
Cx_STG,endothelial cell,26,0.003996004,0.018981019
Cx_STG,fibroblast,50,0.11188811,0.67132866
Cx_STG,leukocyte,29,0.008991009,0.110889114
Cx_STG,neuron,27340,0.7422577,0.4925075
Cx_STG,oligodendrocyte,8239,0.25174826,0.73426574
Cx_STG,oligodendrocyte precursor cell,1112,0.5694306,0.09190809
Cx_STG,pericyte,34,0.034965035,0.30769232
Cx_STG,vascular associated smooth muscle cell,1,0.26673326,NA
Cx_TP,astrocyte,819,0.12587413,0.026973028
Cx_TP,central nervous system macrophage,410,0.13786213,0.22677323
Cx_TP,endothelial cell,4,0.04895105,0.34065935
Cx_TP,fibroblast,35,0.3126873,0.84415585
Cx_TP,leukocyte,11,0.025974026,0.015984016
Cx_TP,neuron,34466,0.4065934,0.5964036
Cx_TP,oligodendrocyte,1256,0.34065935,0.8541458
Cx_TP,oligodendrocyte precursor cell,635,0.5874126,0.8101898
Cx_TP,pericyte,5,0.07092907,0.6043956
Cx_TP,vascular associated smooth muscle cell,1,0.11588412,NA
Cx_TTG,astrocyte,666,0.1058941,0.28771228
Cx_TTG,central nervous system macrophage,311,0.23076923,0.24075924
Cx_TTG,endothelial cell,19,0.025974026,0.53446555
Cx_TTG,fibroblast,34,0.32867134,0.7212787
Cx_TTG,leukocyte,8,0.044955045,0.14885116
Cx_TTG,neuron,30175,0.36663336,0.7152847
Cx_TTG,oligodendrocyte,1302,0.42057943,0.65434563
Cx_TTG,oligodendrocyte precursor cell,264,0.6303696,0.16883117
Cx_TTG,pericyte,8,0.053946055,0.85614383
Cx_TTG,vascular associated smooth muscle cell,3,0.2007992,0.6703297
ETH,astrocyte,239,0.018981019,0.012987013
ETH,central nervous system macrophage,184,0.28971028,0.98101896
ETH,endothelial cell,15,0.06593407,0.991009
ETH,ependymal cell,58,0.015984016,0.4975025
ETH,fibroblast,60,0.34565434,0.34765235
ETH,leukocyte,18,0.001998002,0.6093906
ETH,neuron,22261,0.84815186,0.8831169
ETH,oligodendrocyte,1222,0.36063936,0.47052947
ETH,oligodendrocyte precursor cell,242,0.54845154,0.13086914
ETH,pericyte,24,0.23276724,0.86613387
ETH,vascular associated smooth muscle cell,4,0.016983017,0.24175824
EXA_BNST,astrocyte,713,0.15684316,0.016983017
EXA_BNST,central nervous system macrophage,347,0.2857143,0.6073926
EXA_BNST,endothelial cell,9,0.27872127,0.0989011
EXA_BNST,ependymal cell,237,0.06393606,0.08791209
EXA_BNST,fibroblast,28,0.5584416,0.72327673
EXA_BNST,leukocyte,18,0.02097902,0.54145855
EXA_BNST,neuron,31259,0.56843156,0.75924075
EXA_BNST,oligodendrocyte,1692,0.54145855,0.5714286
EXA_BNST,oligodendrocyte precursor cell,615,0.7312687,0.6683317
EXA_BNST,pericyte,11,0.3106893,0.85814184
EXA_BNST,vascular associated smooth muscle cell,4,0.46353647,0.35464534
HiB_Rostral_CA1-2,astrocyte,261,0.09490509,0.74125874
HiB_Rostral_CA1-2,central nervous system macrophage,132,0.25474524,0.7012987
HiB_Rostral_CA1-2,endothelial cell,19,0.05794206,0.5724276
HiB_Rostral_CA1-2,ependymal cell,2,0.001998002,0.000999001
HiB_Rostral_CA1-2,fibroblast,16,0.17182817,0.051948052
HiB_Rostral_CA1-2,neuron,9696,0.6273726,0.4945055
HiB_Rostral_CA1-2,oligodendrocyte,866,0.04695305,0.12887113
HiB_Rostral_CA1-2,oligodendrocyte precursor cell,265,0.35264736,0.28971028
HiB_Rostral_CA1-2,pericyte,4,0.1928072,0.54345655
HiB_Rostral_CA1-2,vascular associated smooth muscle cell,4,0.02897103,0.5294705
HiB_Rostral_CA1-CA3,astrocyte,1178,0.043956045,0.003996004
HiB_Rostral_CA1-CA3,central nervous system macrophage,783,0.2937063,0.08491509
HiB_Rostral_CA1-CA3,choroid plexus epithelial cell,3,0.42457542,0.66033965
HiB_Rostral_CA1-CA3,endothelial cell,30,0.068931065,0.54345655
HiB_Rostral_CA1-CA3,ependymal cell,85,0.014985015,0.12287712
HiB_Rostral_CA1-CA3,fibroblast,80,0.17182817,0.2987013
HiB_Rostral_CA1-CA3,leukocyte,19,0.006993007,0.7372627
HiB_Rostral_CA1-CA3,neuron,21695,0.6233766,0.3966034
HiB_Rostral_CA1-CA3,oligodendrocyte,4386,0.25474524,0.51448554
HiB_Rostral_CA1-CA3,oligodendrocyte precursor cell,438,0.5064935,0.9350649
HiB_Rostral_CA1-CA3,pericyte,23,0.011988012,0.11188811
HiB_Rostral_CA1-CA3,vascular associated smooth muscle cell,4,0.18881118,0.8761239
HiB_Rostral_CA3,astrocyte,583,0.064935066,0.013986014
HiB_Rostral_CA3,central nervous system macrophage,284,0.16183816,0.051948052
HiB_Rostral_CA3,endothelial cell,49,0.005994006,0.17582418
HiB_Rostral_CA3,ependymal cell,43,0.08991009,0.000999001
HiB_Rostral_CA3,fibroblast,21,0.2997003,0.07892108
HiB_Rostral_CA3,leukocyte,5,0.043956045,0.5034965
HiB_Rostral_CA3,neuron,4796,0.7872128,0.35464534
HiB_Rostral_CA3,oligodendrocyte,1987,0.27072927,0.16783217
HiB_Rostral_CA3,oligodendrocyte precursor cell,288,0.6193806,0.8101898
HiB_Rostral_CA3,pericyte,11,0.002997003,0.08191808
HiB_Rostral_CA3,vascular associated smooth muscle cell,10,0.00999001,0.4775225
HiB_Rostral_DG-CA4,astrocyte,4149,0.1998002,0.08391608
HiB_Rostral_DG-CA4,central nervous system macrophage,2369,0.33666334,0.44555444
HiB_Rostral_DG-CA4,choroid plexus epithelial cell,65,0.42657343,0.6823177
HiB_Rostral_DG-CA4,endothelial cell,88,0.03196803,0.27972028
HiB_Rostral_DG-CA4,ependymal cell,59,0.050949052,0.16983017
HiB_Rostral_DG-CA4,fibroblast,69,0.32667333,0.4885115
HiB_Rostral_DG-CA4,leukocyte,35,0.014985015,0.4775225
HiB_Rostral_DG-CA4,neuron,25636,0.7062937,0.8221778
HiB_Rostral_DG-CA4,oligodendrocyte,6028,0.31568432,0.6013986
HiB_Rostral_DG-CA4,oligodendrocyte precursor cell,1652,0.7012987,0.9230769
HiB_Rostral_DG-CA4,pericyte,35,0.121878125,0.24375625
HiB_Rostral_DG-CA4,vascular associated smooth muscle cell,6,0.58841157,0.27572426
HiH_UncalCA1-CA3,astrocyte,1514,0.038961038,0.017982017
HiH_UncalCA1-CA3,central nervous system macrophage,426,0.16183816,0.4845155
HiH_UncalCA1-CA3,endothelial cell,11,0.08291708,0.75024974
HiH_UncalCA1-CA3,ependymal cell,178,0.017982017,0.002997003
HiH_UncalCA1-CA3,fibroblast,135,0.34565434,0.5714286
HiH_UncalCA1-CA3,leukocyte,12,0.000999001,0.023976024
HiH_UncalCA1-CA3,neuron,31168,0.7442557,0.5004995
HiH_UncalCA1-CA3,oligodendrocyte,3996,0.24375625,0.44555444
HiH_UncalCA1-CA3,oligodendrocyte precursor cell,458,0.5824176,0.6073926
HiH_UncalCA1-CA3,pericyte,12,0.5264735,0.15084915
HiH_UncalCA1-CA3,vascular associated smooth muscle cell,1,0.08391608,NA
HiH_UncalCA1,astrocyte,7354,0.35664335,0.09490509
HiH_UncalCA1,central nervous system macrophage,1723,0.35064936,0.5694306
HiH_UncalCA1,endothelial cell,271,0.024975024,0.5904096
HiH_UncalCA1,ependymal cell,1160,0.36163837,0.007992008
HiH_UncalCA1,fibroblast,121,0.5604396,0.73026973
HiH_UncalCA1,leukocyte,76,0.026973028,0.3756244
HiH_UncalCA1,neuron,14677,0.5714286,0.6983017
HiH_UncalCA1,oligodendrocyte,7994,0.2927073,0.1988012
HiH_UncalCA1,oligodendrocyte precursor cell,5693,0.7992008,0.14585415
HiH_UncalCA1,pericyte,69,0.061938062,0.6193806
HiH_UncalCA1,vascular associated smooth muscle cell,9,0.23276724,0.64235765
HiH_UncalCA2CA3,astrocyte,164,0.003996004,0.012987013
HiH_UncalCA2CA3,central nervous system macrophage,423,0.02097902,0.55744255
HiH_UncalCA2CA3,endothelial cell,7,0.050949052,0.5924076
HiH_UncalCA2CA3,ependymal cell,8,0.017982017,0.06793207
HiH_UncalCA2CA3,leukocyte,8,0.016983017,0.5514485
HiH_UncalCA2CA3,neuron,11268,0.8431568,0.37162837
HiH_UncalCA2CA3,oligodendrocyte,456,0.060939062,0.8901099
HiH_UncalCA2CA3,oligodendrocyte precursor cell,118,0.054945055,0.037962038
HiH_UncalCA2CA3,pericyte,6,0.000999001,0.24775225
HiH_UncalCA2CA3,vascular associated smooth muscle cell,3,0.034965035,0.000999001
HiH_UncalDGCA4,astrocyte,3720,0.10689311,0.016983017
HiH_UncalDGCA4,central nervous system macrophage,2126,0.44655344,0.21578422
HiH_UncalDGCA4,endothelial cell,46,0.1028971,0.011988012
HiH_UncalDGCA4,ependymal cell,91,0.02097902,0.15684316
HiH_UncalDGCA4,fibroblast,40,0.4005994,0.99000996
HiH_UncalDGCA4,leukocyte,19,0.121878125,0.34365633
HiH_UncalDGCA4,neuron,22000,0.7422577,0.5064935
HiH_UncalDGCA4,oligodendrocyte,5693,0.3096903,0.7532467
HiH_UncalDGCA4,oligodendrocyte precursor cell,1596,0.56643355,0.8971029
HiH_UncalDGCA4,pericyte,17,0.110889114,0.17582418
HiH_UncalDGCA4,vascular associated smooth muscle cell,2,0.5184815,NA
HiT_Caudal_Hippocampus_CA1-CA3,astrocyte,957,0.024975024,0.066933066
HiT_Caudal_Hippocampus_CA1-CA3,central nervous system macrophage,483,0.25274727,0.9210789
HiT_Caudal_Hippocampus_CA1-CA3,endothelial cell,30,0.01998002,0.16483517
HiT_Caudal_Hippocampus_CA1-CA3,ependymal cell,50,0.004995005,0.25474524
HiT_Caudal_Hippocampus_CA1-CA3,fibroblast,43,0.12287712,0.13386613
HiT_Caudal_Hippocampus_CA1-CA3,leukocyte,6,0.12987013,0.14385614
HiT_Caudal_Hippocampus_CA1-CA3,neuron,32432,0.6863137,0.5134865
HiT_Caudal_Hippocampus_CA1-CA3,oligodendrocyte,2485,0.22877122,0.9010989
HiT_Caudal_Hippocampus_CA1-CA3,oligodendrocyte precursor cell,390,0.4995005,0.18081918
HiT_Caudal_Hippocampus_CA1-CA3,pericyte,7,0.12987013,0.6113886
HiT_Caudal_Hippocampus_CA1-CA3,vascular associated smooth muscle cell,3,0.2987013,0.17782217
HiT_Caudal_Hippocampus_CA4-DGC,astrocyte,3761,0.06993007,0.014985015
HiT_Caudal_Hippocampus_CA4-DGC,central nervous system macrophage,1782,0.3846154,0.71628374
HiT_Caudal_Hippocampus_CA4-DGC,endothelial cell,174,0.03696304,0.14185815
HiT_Caudal_Hippocampus_CA4-DGC,ependymal cell,111,0.03196803,0.1058941
HiT_Caudal_Hippocampus_CA4-DGC,fibroblast,86,0.17882118,0.7122877
HiT_Caudal_Hippocampus_CA4-DGC,leukocyte,36,0.13386613,0.21678321
HiT_Caudal_Hippocampus_CA4-DGC,neuron,36588,0.75624377,0.6143856
HiT_Caudal_Hippocampus_CA4-DGC,oligodendrocyte,11875,0.2907093,0.8941059
HiT_Caudal_Hippocampus_CA4-DGC,oligodendrocyte precursor cell,1896,0.56443554,0.75924075
HiT_Caudal_Hippocampus_CA4-DGC,pericyte,39,0.07092907,0.3126873
HiT_Caudal_Hippocampus_CA4-DGC,vascular associated smooth muscle cell,19,0.24875125,0.75524473
HTH_HTHma_HTHtub,astrocyte,227,0.07692308,0.002997003
HTH_HTHma_HTHtub,central nervous system macrophage,313,0.15484515,0.8911089
HTH_HTHma_HTHtub,choroid plexus epithelial cell,1,0.1028971,NA
HTH_HTHma_HTHtub,endothelial cell,11,0.02897103,0.985015
HTH_HTHma_HTHtub,ependymal cell,2,0.027972028,0.000999001
HTH_HTHma_HTHtub,fibroblast,41,0.044955045,0.36063936
HTH_HTHma_HTHtub,leukocyte,5,0.021978023,0.7192807
HTH_HTHma_HTHtub,neuron,16512,0.67432564,0.44555444
HTH_HTHma_HTHtub,oligodendrocyte,1363,0.2927073,0.3946054
HTH_HTHma_HTHtub,oligodendrocyte precursor cell,243,0.5154845,0.995005
HTH_HTHma_HTHtub,pericyte,10,0.000999001,0.6113886
HTH_HTHma_MN,Bergmann glial cell,1,0.47152847,NA
HTH_HTHma_MN,astrocyte,1923,0.075924076,0.04095904
HTH_HTHma_MN,central nervous system macrophage,1921,0.43356642,0.08191808
HTH_HTHma_MN,choroid plexus epithelial cell,1,0.6503497,NA
HTH_HTHma_MN,endothelial cell,96,0.08691309,0.2907093
HTH_HTHma_MN,ependymal cell,51,0.08591408,0.05294705
HTH_HTHma_MN,fibroblast,232,0.116883114,0.06593407
HTH_HTHma_MN,leukocyte,144,0.003996004,0.055944055
HTH_HTHma_MN,neuron,17272,0.5714286,0.25974026
HTH_HTHma_MN,oligodendrocyte,5318,0.5514485,0.32967034
HTH_HTHma_MN,oligodendrocyte precursor cell,1073,0.5744256,0.23076923
HTH_HTHma_MN,pericyte,28,0.061938062,0.5514485
HTH_HTHma_MN,vascular associated smooth muscle cell,95,0.006993007,0.71828175
HTH_HTHma,astrocyte,141,0.011988012,0.15384616
HTH_HTHma,central nervous system macrophage,97,0.18681319,0.53846157
HTH_HTHma,endothelial cell,16,0.13186814,0.6233766
HTH_HTHma,ependymal cell,27,0.044955045,0.5714286
HTH_HTHma,fibroblast,25,0.2957043,0.7022977
HTH_HTHma,leukocyte,3,0.010989011,0.34665334
HTH_HTHma,neuron,9022,0.8031968,0.4755245
HTH_HTHma,oligodendrocyte,635,0.17482518,0.21678321
HTH_HTHma,oligodendrocyte precursor cell,113,0.5804196,0.6363636
HTH_HTHma,pericyte,9,0.83916086,0.43456542
HTH_HTHma,vascular associated smooth muscle cell,11,0.12887113,0.16983017
HTH_HTHpo_HTHso,astrocyte,491,0.07192807,0.07192807
HTH_HTHpo_HTHso,central nervous system macrophage,151,0.12787212,0.9100899
HTH_HTHpo_HTHso,endothelial cell,4,0.004995005,0.8101898
HTH_HTHpo_HTHso,ependymal cell,30,0.17282717,0.5184815
HTH_HTHpo_HTHso,fibroblast,26,0.02997003,0.40759242
HTH_HTHpo_HTHso,leukocyte,6,0.43856144,0.38861138
HTH_HTHpo_HTHso,neuron,18002,0.62837166,0.3016983
HTH_HTHpo_HTHso,oligodendrocyte,1178,0.42757243,0.5044955
HTH_HTHpo_HTHso,oligodendrocyte precursor cell,134,0.5014985,0.27772227
HTH_HTHpo_HTHso,pericyte,3,0.06793207,0.30669332
HTH_HTHpo_HTHso,vascular associated smooth muscle cell,2,0.007992008,0.000999001
HTH_HTHpo,astrocyte,396,0.36563435,0.025974026
HTH_HTHpo,central nervous system macrophage,170,0.24275725,0.6343656
HTH_HTHpo,endothelial cell,1,0.1028971,NA
HTH_HTHpo,ependymal cell,25,0.02997003,0.12687312
HTH_HTHpo,fibroblast,8,0.075924076,0.22777222
HTH_HTHpo,leukocyte,9,0.05294705,0.8771229
HTH_HTHpo,neuron,13248,0.112887114,0.14585415
HTH_HTHpo,oligodendrocyte,801,0.24375625,0.4965035
HTH_HTHpo,oligodendrocyte precursor cell,314,0.74025977,0.6293706
HTH_HTHpo,pericyte,7,0.054945055,0.14185815
HTH_HTHso_HTHtub,astrocyte,382,0.15184815,0.12887113
HTH_HTHso_HTHtub,central nervous system macrophage,175,0.1928072,0.053946055
HTH_HTHso_HTHtub,ependymal cell,5,0.016983017,0.5114885
HTH_HTHso_HTHtub,fibroblast,8,0.116883114,0.6273726
HTH_HTHso_HTHtub,leukocyte,7,0.037962038,0.4215784
HTH_HTHso_HTHtub,neuron,15499,0.3206793,0.28771228
HTH_HTHso_HTHtub,oligodendrocyte,484,0.56343657,0.7012987
HTH_HTHso_HTHtub,oligodendrocyte precursor cell,192,0.56243753,0.15984017
HTH_HTHso_HTHtub,vascular associated smooth muscle cell,1,0.16983017,NA
HTH_HTHso,astrocyte,1428,0.12087912,0.044955045
HTH_HTHso,central nervous system macrophage,240,0.1058941,0.2827173
HTH_HTHso,endothelial cell,28,0.07292707,0.10689311
HTH_HTHso,ependymal cell,1,0.5334665,NA
HTH_HTHso,fibroblast,17,0.21578422,0.4055944
HTH_HTHso,leukocyte,9,0.07192807,0.22577423
HTH_HTHso,neuron,9535,0.75524473,0.84115887
HTH_HTHso,oligodendrocyte,609,0.37962037,0.054945055
HTH_HTHso,oligodendrocyte precursor cell,671,0.67432564,0.8221778
HTH_HTHso,pericyte,11,0.16883117,0.81918085
HTH_HTHso,vascular associated smooth muscle cell,8,0.023976024,0.08391608
HTH_HTHtub,astrocyte,378,0.004995005,0.003996004
HTH_HTHtub,central nervous system macrophage,296,0.20379621,0.46053946
HTH_HTHtub,endothelial cell,33,0.09290709,0.9370629
HTH_HTHtub,ependymal cell,75,0.001998002,0.121878125
HTH_HTHtub,fibroblast,60,0.45254746,0.8941059
HTH_HTHtub,leukocyte,31,0.007992008,0.056943055
HTH_HTHtub,neuron,10976,0.83116883,0.46753246
HTH_HTHtub,oligodendrocyte,701,0.2957043,0.4065934
HTH_HTHtub,oligodendrocyte precursor cell,613,0.5334665,0.07292707
HTH_HTHtub,pericyte,10,0.22177823,0.14685315
M_IC,Bergmann glial cell,28,0.64935064,0.5964036
M_IC,astrocyte,627,0.010989011,0.002997003
M_IC,central nervous system macrophage,611,0.17282717,0.23176824
M_IC,choroid plexus epithelial cell,1,0.62237763,NA
M_IC,endothelial cell,30,0.066933066,0.5954046
M_IC,ependymal cell,64,0.025974026,0.02997003
M_IC,fibroblast,74,0.39060938,0.8721279
M_IC,leukocyte,38,0.016983017,0.6983017
M_IC,neuron,27978,0.12987013,0.15184815
M_IC,oligodendrocyte,2029,0.46553448,0.23976023
M_IC,oligodendrocyte precursor cell,803,0.70729274,0.26473525
M_IC,pericyte,14,0.017982017,0.5854146
M_IC,vascular associated smooth muscle cell,9,0.1928072,0.57042956
Midbrain_RN,Bergmann glial cell,1,0.8721279,NA
Midbrain_RN,astrocyte,344,0.056943055,0.003996004
Midbrain_RN,central nervous system macrophage,157,0.4875125,0.3836164
Midbrain_RN,endothelial cell,10,0.18581419,0.25974026
Midbrain_RN,fibroblast,26,0.5974026,0.44155845
Midbrain_RN,leukocyte,10,0.02997003,0.5714286
Midbrain_RN,neuron,1731,0.8901099,0.066933066
Midbrain_RN,oligodendrocyte,2139,0.38261738,0.24275725
Midbrain_RN,oligodendrocyte precursor cell,281,0.5154845,0.7762238
Midbrain_RN,pericyte,14,0.2027972,0.46253747
Midbrain_RN,vascular associated smooth muscle cell,1,0.4215784,NA
Mo_MoAN,Bergmann glial cell,101,0.8651349,0.23276724
Mo_MoAN,astrocyte,2614,0.02097902,0.001998002
Mo_MoAN,central nervous system macrophage,1006,0.33866134,0.22177823
Mo_MoAN,choroid plexus epithelial cell,1057,0.5044955,0.03696304
Mo_MoAN,endothelial cell,120,0.02997003,0.22277722
Mo_MoAN,ependymal cell,372,0.27572426,0.1958042
Mo_MoAN,fibroblast,179,0.12987013,0.5814186
Mo_MoAN,leukocyte,93,0.011988012,0.112887114
Mo_MoAN,neuron,15537,0.32667333,0.08991009
Mo_MoAN,oligodendrocyte,5263,0.64035964,0.16383617
Mo_MoAN,oligodendrocyte precursor cell,779,0.85314685,0.7742258
Mo_MoAN,pericyte,57,0.064935066,0.28671327
Mo_MoAN,vascular associated smooth muscle cell,32,0.1058941,0.44255745
Mo_MoRF_MoEN,Bergmann glial cell,19,0.72727275,0.44855145
Mo_MoRF_MoEN,astrocyte,1282,0.068931065,0.030969031
Mo_MoRF_MoEN,central nervous system macrophage,1136,0.07092907,0.002997003
Mo_MoRF_MoEN,choroid plexus epithelial cell,37,0.07292707,0.06393606
Mo_MoRF_MoEN,endothelial cell,54,0.025974026,0.8021978
Mo_MoRF_MoEN,ependymal cell,315,0.0939061,0.06393606
Mo_MoRF_MoEN,fibroblast,98,0.34965035,0.14385614
Mo_MoRF_MoEN,leukocyte,50,0.025974026,0.062937066
Mo_MoRF_MoEN,neuron,13984,0.26873127,0.114885114
Mo_MoRF_MoEN,oligodendrocyte,5292,0.6663337,0.32567433
Mo_MoRF_MoEN,oligodendrocyte precursor cell,799,0.67432564,0.07892108
Mo_MoRF_MoEN,pericyte,45,0.04095904,0.037962038
Mo_MoRF_MoEN,vascular associated smooth muscle cell,9,0.001998002,0.43456542
Mo_MoSR,Bergmann glial cell,7,0.73026973,0.47352648
Mo_MoSR,astrocyte,350,0.027972028,0.04295704
Mo_MoSR,central nervous system macrophage,74,0.13986014,0.76823175
Mo_MoSR,choroid plexus epithelial cell,341,0.41958043,0.6853147
Mo_MoSR,endothelial cell,66,0.110889114,0.17082918
Mo_MoSR,ependymal cell,243,0.05894106,0.85714287
Mo_MoSR,fibroblast,107,0.63936067,0.20379621
Mo_MoSR,leukocyte,22,0.013986014,0.40859142
Mo_MoSR,neuron,7147,0.5074925,0.65134865
Mo_MoSR,oligodendrocyte,5011,0.55344653,0.5714286
Mo_MoSR,oligodendrocyte precursor cell,194,0.5044955,0.26073927
Mo_MoSR,pericyte,39,0.30769232,0.8091908
Mo_MoSR,vascular associated smooth muscle cell,22,0.008991009,0.121878125
Mo_PrCbN_IO,Bergmann glial cell,22,0.5694306,0.025974026
Mo_PrCbN_IO,astrocyte,1251,0.045954045,0.004995005
Mo_PrCbN_IO,central nervous system macrophage,1057,0.1998002,0.016983017
Mo_PrCbN_IO,endothelial cell,134,0.004995005,0.35664335
Mo_PrCbN_IO,ependymal cell,1,0.74825174,NA
Mo_PrCbN_IO,fibroblast,201,0.21378621,0.22177823
Mo_PrCbN_IO,leukocyte,73,0.10989011,0.018981019
Mo_PrCbN_IO,neuron,10446,0.2927073,0.3756244
Mo_PrCbN_IO,oligodendrocyte,7304,0.9070929,0.28671327
Mo_PrCbN_IO,oligodendrocyte precursor cell,925,0.9300699,0.82817185
Mo_PrCbN_IO,pericyte,51,0.2007992,0.4975025
Mo_PrCbN_IO,vascular associated smooth muscle cell,69,0.15784216,0.9100899
M_PAG-DR,astrocyte,669,0.35064936,0.06993007
M_PAG-DR,central nervous system macrophage,283,0.30669332,0.16783217
M_PAG-DR,endothelial cell,14,0.14485514,0.1928072
M_PAG-DR,ependymal cell,107,0.26973027,0.1918082
M_PAG-DR,fibroblast,41,0.45254746,0.5014985
M_PAG-DR,leukocyte,23,0.021978023,0.85314685
M_PAG-DR,neuron,10665,0.54345655,0.5134865
M_PAG-DR,oligodendrocyte,1889,0.38861138,0.6113886
M_PAG-DR,oligodendrocyte precursor cell,381,0.48951048,0.65134865
M_PAG-DR,pericyte,18,0.25174826,0.021978023
M_PAG-DR,vascular associated smooth muscle cell,4,0.24175824,0.74525476
M_PAG,astrocyte,1648,0.03196803,0.000999001
M_PAG,central nervous system macrophage,1743,0.11588412,0.27872127
M_PAG,endothelial cell,30,0.008991009,0.62837166
M_PAG,ependymal cell,43,0.04295704,0.034965035
M_PAG,fibroblast,108,0.15784216,0.54845154
M_PAG,leukocyte,61,0.014985015,0.64935064
M_PAG,neuron,16546,0.52747256,0.22977023
M_PAG,oligodendrocyte,11675,0.6303696,0.3936064
M_PAG,oligodendrocyte precursor cell,1909,0.72327673,0.30669332
M_PAG,pericyte,23,0.012987013,0.7922078
M_PAG,vascular associated smooth muscle cell,8,0.18281718,0.5424575
M_PTR,astrocyte,403,0.13386613,0.0989011
M_PTR,central nervous system macrophage,194,0.33766234,0.16483517
M_PTR,endothelial cell,7,0.07692308,0.8591409
M_PTR,ependymal cell,4,0.14085914,0.25474524
M_PTR,fibroblast,77,0.26673326,0.30669332
M_PTR,leukocyte,10,0.000999001,0.56243753
M_PTR,neuron,23580,0.55344653,0.6113886
M_PTR,oligodendrocyte,1409,0.4045954,0.35364637
M_PTR,oligodendrocyte precursor cell,178,0.58641356,0.2937063
M_PTR,pericyte,6,0.07892108,0.17282717
M_PTR,vascular associated smooth muscle cell,7,0.056943055,0.46353647
M_SC,astrocyte,657,0.04295704,0.027972028
M_SC,central nervous system macrophage,274,0.2837163,0.7442557
M_SC,choroid plexus epithelial cell,1,0.96303695,NA
M_SC,endothelial cell,16,0.25974026,0.5824176
M_SC,ependymal cell,36,0.017982017,0.5924076
M_SC,fibroblast,41,0.2057942,0.44955045
M_SC,leukocyte,10,0.06993007,0.28771228
M_SC,neuron,27156,0.6773227,0.72327673
M_SC,oligodendrocyte,1217,0.6053946,0.47852147
M_SC,oligodendrocyte precursor cell,478,0.4845155,0.5114885
M_SC,pericyte,20,0.1058941,0.1008991
M_SC,vascular associated smooth muscle cell,1,0.045954045,NA
M_SN-RN,astrocyte,3618,0.21478522,0.24075924
M_SN-RN,central nervous system macrophage,4423,0.09290709,0.024975024
M_SN-RN,choroid plexus epithelial cell,1,0.024975024,NA
M_SN-RN,endothelial cell,84,0.007992008,0.57342654
M_SN-RN,ependymal cell,19,0.15984017,0.987013
M_SN-RN,fibroblast,152,0.3026973,0.062937066
