Region,Cell_Type,n_cell,P_val(association),P_val(heterogeneity)
BN_CaB,central nervous system macrophage,181,0.005994006,0.11788212
BN_CaB,endothelial cell,8,0.022977022,0.74925077
BN_CaB,ependymal cell,113,0.002997003,0.6293706
BN_CaB,fibroblast,16,0.56643355,0.6083916
BN_CaB,leukocyte,2,0.1878122,0.000999001
BN_CaB,neuron,29889,0.8751249,0.3986014
BN_CaB,oligodendrocyte,1297,0.0959041,0.7112887
BN_CaB,oligodendrocyte precursor cell,406,0.3986014,0.24975026
BN_CaB,pericyte,9,0.08991009,0.18381618
BN_CaB,vascular associated smooth muscle cell,4,0.005994006,0.31968033
BN_GP_GPe,Bergmann glial cell,1,0.44555444,NA
BN_GP_GPe,astrocyte,3219,0.06993007,0.13286713
BN_GP_GPe,central nervous system macrophage,5438,0.11588412,0.014985015
BN_GP_GPe,endothelial cell,78,0.043956045,0.65634364
BN_GP_GPe,fibroblast,217,0.18681319,0.4125874
BN_GP_GPe,leukocyte,133,0.013986014,0.25074926
BN_GP_GPe,neuron,15129,0.65334666,0.48051947
BN_GP_GPe,oligodendrocyte,24626,0.6363636,0.16683316
BN_GP_GPe,oligodendrocyte precursor cell,1876,0.7132867,0.021978023
BN_GP_GPe,pericyte,92,0.27772227,0.44355646
BN_GP_GPe,vascular associated smooth muscle cell,21,0.08691309,0.5494506
BN_GP_GPi,astrocyte,8675,0.6863137,0.23476523
BN_GP_GPi,central nervous system macrophage,11345,0.2907093,0.022977022
BN_GP_GPi,endothelial cell,37,0.023976024,0.84415585
BN_GP_GPi,fibroblast,152,0.7672328,0.3106893
BN_GP_GPi,leukocyte,215,0.00999001,0.7742258
BN_GP_GPi,neuron,1511,0.12987013,0.35664335
BN_GP_GPi,oligodendrocyte,10709,0.76423573,0.04795205
BN_GP_GPi,oligodendrocyte precursor cell,1133,0.5444555,0.15984017
BN_GP_GPi,pericyte,172,0.1968032,0.7312687
BN_GP_GPi,vascular associated smooth muscle cell,19,0.053946055,0.7862138
BN_NAC,astrocyte,707,0.12287712,0.026973028
BN_NAC,central nervous system macrophage,166,0.18881118,0.64435565
